id,name,buy_val,ability,ap,power,vit,speed,magic,m.defence,luck,maxhp,maxmp
4000,Restore,750,1/2/3/4,2500/17000/25000/40000,-1,0,0,1,0,0,-2,2
4001,Heal,1500,5/6/7,1200/52000/60000,-1,0,0,1,0,0,-2,2
4002,Revive,3000,8/9,45000/55000,-2,-1,0,2,1,0,-5,5
4003,Fire,600,10/11/12,2000/18000/35000,-1,0,0,1,0,0,-2,2
4004,Ice,600,13/14/15,2000/18000/35000,-1,0,0,1,0,0,-2,2
4005,Bolt,600,16/17/18,2000/18000/35000,-1,0,0,1,0,0,-2,2
4006,Earth,1500,19/20/21,6000/22000/40000,-1,0,0,1,0,0,-2,2
4007,Poison,1500,22/23/24,5000/20000/38000,-1,0,0,1,0,0,-2,2
4008,Gravity,8000,25/26/27,10000/20000/40000,-1,0,0,1,0,0,-2,2
4009,Seal,3000,28/29,10000/20000,-1,0,0,1,0,0,-2,2
4010,Mystify,6000,30/31,12000/25000,-1,0,0,1,0,0,-2,2
4011,Deform,5000,32/33,8000/24000,-1,0,0,1,0,0,-2,2
4012,Time,6000,34/35/36,8000/20000/42000,-2,-1,0,2,1,0,-5,5
4013,Barrier,10000,37/38/39/40,5000/15000/30000/45000,-2,-1,0,2,1,0,-5,5
4014,Destruct,9000,41/42/43,6000/10000/45000,-2,-1,0,2,1,0,-5,5
4015,Comet,0,44/45,12000/60000,-2,-1,0,2,1,0,-5,5
4016,Contain,0,46/47/48/49,5000/10000/15000/60000,-4,-2,0,4,2,0,-10,10
4017,Exit,10000,50/51,10000/30000,-1,0,0,1,0,0,-2,2
4018,FullCure,0,0/52,3000/100000,-4,-2,0,4,2,0,-10,10
4019,Shield,0,0/53,10000/100000,-4,-2,0,4,2,0,-10,10
4020,Ultima,0,0/54,5000/100000,-4,-2,0,4,2,0,-10,10
4021,MasterMg,0,0,0,0,0,0,0,0,0,0,0
4100,AimAll,20000,1/2/3/4/5,1500/6000/18000/35000,0,0,0,0,0,0,0,0
4101,Element,0,6/7/8,10000/40000/80000,0,0,0,0,0,0,0,0
4102,Effect,0,9,100000,0,0,0,0,0,0,0,0
4103,HPAbsorb,0,10,100000,0,0,0,0,0,0,0,0
4104,MPAbsorb,0,11,100000,0,0,0,0,0,0,0,0
4105,MPTurbo,0,12/13/14/15/16,10000/30000/60000/120000,0,0,0,0,0,0,0,0
4106,AddSlash,0,17,200000,0,0,0,0,0,0,0,0
4107,AddSteal,0,18,200000,0,0,0,0,0,0,0,0
4108,SneakAtk,0,19/20/21/22/23,20000/60000/100000/150000,0,0,0,0,0,0,0,0
4109,MRush,0,24/25/26/27/28,40000/80000/120000/200000,0,0,0,0,0,0,0,0
4110,MCounter,0,29/30/31/32/33,20000/40000/80000/300000,0,0,0,0,0,0,0,0
4111,CCounter,0,34/35/36/37/38,20000/40000/60000/100000,0,0,0,0,0,0,0,0
4112,FinalAtk,0,39/40/41/42/43,20000/40000/80000/160000,0,0,0,0,0,0,0,0
4200,Steal,1200,1/2,40000/50000,0,0,2,0,0,0,0,0
4201,Identify,1000,3,40000,0,0,0,0,0,0,0,0
4202,Throw,10000,4/5,45000/60000,0,1,0,0,0,0,0,0
4203,Morph,0,6,100000,0,0,0,0,0,0,0,0
4204,KillBlow,10000,7,40000,0,0,0,0,0,1,0,0
4205,Puppet,10000,8,40000,0,0,0,0,0,0,0,0
4206,Mimic,0,9,100000,0,0,0,0,0,0,0,0
4207,Knack,0,0,0,0,0,0,0,0,0,0,0
4208,SlashAll,0,10/11,130000/150000,0,0,0,0,0,0,0,0
4209,2xSlash,0,12/13,100000/150000,0,0,2,0,0,0,0,0
4210,2xMagic,0,14,250000,0,0,0,0,0,0,0,0
4211,2xSummon,0,15,250000,0,0,0,0,0,0,0,0
4212,2xItem,0,16,250000,0,0,0,0,0,0,0,0
4213,MasterCm,0,0,0,0,0,0,0,0,0,0,0
4300,HP-Up,8000,1/2/3/4/5,10000/20000/30000/50000,0,0,0,0,0,0,0,0
4301,MP-Up,8000,6/7/8/9/10,10000/20000/30000/50000,0,0,0,0,0,0,0,0
4302,SwapHPMP,0,11,80000,0,0,0,0,0,0,0,0
4303,Speed-Up,0,12/13/14/15/16,15000/30000/60000/100000,0,0,0,0,0,0,0,0
4304,Magic-Up,0,17/18/19/20/21,10000/20000/30000/50000,0,0,0,0,0,0,0,0
4305,Luck-UP,0,22/23/24/25/26,15000/30000/60000/100000,0,0,0,0,0,0,0,0
4306,Gil-Up,0,27/28,80000/150000,0,0,0,0,0,1,0,0
4307,Exp-Up,0,29/30,60000/150000,0,0,0,0,0,1,0,0
4308,FarRange,0,31,80000,0,0,0,0,0,0,0,0
4309,Preempt,0,32/33/34/35/36,8000/20000/40000/80000,0,0,2,0,0,0,0,0
4310,Repulse,0,37/38,10000/50000,0,0,0,0,0,1,0,0
4311,Allure,0,39/40,10000/50000,0,0,0,0,0,-1,0,0
4312,ChocLure,2000,41/42/43/44,3000/10000/30000,0,0,0,0,0,1,0,0
4313,Cover,1000,45/46/47/48/49,2000/10000/25000/40000,0,1,0,0,0,0,0,0
4314,Counter,0,50/51/52/53/54,10000/20000/50000/100000,0,0,0,0,0,0,0,0
4315,MegaAll,0,55/56/57/58/59,20000/40000/80000/160000,0,0,0,0,0,0,0,0
4400,Choc/Mog,0,1/2,2000/14000/25000/35000,0,0,0,1,0,0,-2,2
4401,Shiva,0,3,4000/15000/30000/50000,0,0,0,1,0,0,-2,2
4402,Ifrit,0,4,5000/20000/35000/60000,0,0,0,1,0,0,-2,2
4403,Ramuh,0,5,10000/25000/50000/70000,0,0,0,1,0,0,-2,2
4404,Titan,0,6,15000/30000/60000/80000,0,0,0,1,0,0,-2,2
4405,Odin,0,7/8,16000/32000/65000/90000,0,0,0,1,1,0,-5,5
4406,Leviathan,0,9,18000/38000/70000/100000,0,0,0,1,1,0,-5,5
4407,Bahamut,0,10,20000/50000/80000/120000,0,0,0,1,1,0,-5,5
4408,Kujata,0,11,22000/60000/90000/140000,0,0,0,1,1,0,-5,5
4409,Alexander,0,12,25000/65000/100000/150000,0,0,0,1,1,0,-5,5
4410,Phoenix,0,13,28000/70000/120000/180000,0,0,0,2,2,0,-10,10
4411,BahamutX,0,14,30000/80000/140000/200000,0,0,0,2,2,0,-10,10
4412,Hades,0,15,35000/120000/150000/250000,0,0,0,4,4,0,-10,15
4413,Typhon,0,16,35000/120000/150000/250000,0,0,0,4,4,0,-10,15
4414,BahamutZ,0,17,35000/120000/150000/250000,0,0,0,4,4,0,-10,15
4415,Knights,0,18,50000/200000/300000/500000,0,0,0,8,8,0,-10,20
4416,MasterSm,0,0,0,0,0,0,0,0,0,0,0
